SR.No.,Device No.,Date,Time,kWh,kVARH Lag,kVA,kVARH Lead
335,SH000198,07.12.2019,23:00:00,337.6,36.8,681.6,0
336,SH000198,07.12.2019,23:30:00,333.6,35.2,670.4,0
337,SH000198,08.12.2019,00:00:00,330.4,36,664,0
338,SH000198,08.12.2019,00:30:00,325.6,36,656,0
339,SH000198,08.12.2019,01:00:00,322.4,35.2,649.6,0
340,SH000198,08.12.2019,01:30:00,309.6,28.8,622.4,0
341,SH000198,08.12.2019,02:00:00,317.6,36.8,640,0
342,SH000198,08.12.2019,02:30:00,301.6,30.4,608,0
343,SH000198,08.12.2019,03:00:00,310.4,33.6,625.6,0
344,SH000198,08.12.2019,03:30:00,298.4,27.2,600,0
345,SH000198,08.12.2019,04:00:00,296.8,26.4,596.8,0
346,SH000198,08.12.2019,04:30:00,309.6,36.8,624,0
347,SH000198,08.12.2019,05:00:00,296,26.4,593.6,0
348,SH000198,08.12.2019,05:30:00,306.4,33.6,617.6,0
349,SH000198,08.12.2019,06:00:00,305.6,28.8,616,0
350,SH000198,08.12.2019,06:30:00,314.4,34.4,633.6,0
351,SH000198,08.12.2019,07:00:00,320,32,643.2,0
352,SH000198,08.12.2019,07:30:00,320,34.4,644.8,0
353,SH000198,08.12.2019,08:00:00,324,36,651.2,0
354,SH000198,08.12.2019,08:30:00,328.8,35.2,660.8,0
355,SH000198,08.12.2019,09:00:00,322.4,30.4,648,0
356,SH000198,08.12.2019,09:30:00,333.6,33.6,672,0
357,SH000198,08.12.2019,10:00:00,330.4,32,665.6,0
358,SH000198,08.12.2019,10:30:00,349.6,40.8,704,0
359,SH000198,08.12.2019,11:00:00,346.4,38.4,697.6,0
360,SH000198,08.12.2019,11:30:00,344.8,36,694.4,0
361,SH000198,08.12.2019,12:00:00,354.4,44.8,713.6,0
362,SH000198,08.12.2019,12:30:00,356,45.6,718.4,0
363,SH000198,08.12.2019,13:00:00,345.6,34.4,694.4,0
364,SH000198,08.12.2019,13:30:00,344,24,688,0
365,SH000198,08.12.2019,14:00:00,344,24,688,0
366,SH000198,08.12.2019,14:30:00,344.8,24.8,691.2,0
367,SH000198,08.12.2019,15:00:00,348,28.8,697.6,0
368,SH000198,08.12.2019,15:30:00,355.2,42.4,715.2,0
369,SH000198,08.12.2019,16:00:00,360.8,48,728,0
370,SH000198,08.12.2019,16:30:00,357.6,47.2,721.6,0
371,SH000198,08.12.2019,17:00:00,345.6,39.2,696,0
372,SH000198,08.12.2019,17:30:00,355.2,46.4,716.8,0
373,SH000198,08.12.2019,18:00:00,352.8,44.8,712,0
374,SH000198,08.12.2019,18:30:00,354.4,44,713.6,0
375,SH000198,08.12.2019,19:00:00,354.4,44,715.2,0
376,SH000198,08.12.2019,19:30:00,348,39.2,700.8,0
377,SH000198,08.12.2019,20:00:00,350.4,40.8,705.6,0
378,SH000198,08.12.2019,20:30:00,350.4,39.2,705.6,0
379,SH000198,08.12.2019,21:00:00,344,32.8,692.8,0
380,SH000198,08.12.2019,21:30:00,349.6,38.4,705.6,0
381,SH000198,08.12.2019,22:00:00,352,39.2,708.8,0
382,SH000198,08.12.2019,22:30:00,338.4,28.8,680,0
383,SH000198,08.12.2019,23:00:00,340,33.6,683.2,0
384,SH000198,08.12.2019,23:30:00,336.8,36.8,680,0
385,SH000198,09.12.2019,00:00:00,328.8,29.6,662.4,0
386,SH000198,09.12.2019,00:30:00,331.2,36.8,667.2,0
387,SH000198,09.12.2019,01:00:00,324,36.8,652.8,0
388,SH000198,09.12.2019,01:30:00,317.6,26.4,638.4,0
389,SH000198,09.12.2019,02:00:00,307.2,19.2,617.6,0
390,SH000198,09.12.2019,02:30:00,306.4,19.2,614.4,0
391,SH000198,09.12.2019,03:00:00,302.4,18.4,606.4,0
392,SH000198,09.12.2019,03:30:00,300,17.6,601.6,0
393,SH000198,09.12.2019,04:00:00,298.4,17.6,596.8,0
394,SH000198,09.12.2019,04:30:00,300,18.4,601.6,0
395,SH000198,09.12.2019,05:00:00,300.8,17.6,603.2,0
396,SH000198,09.12.2019,05:30:00,301.6,17.6,606.4,0
397,SH000198,09.12.2019,06:00:00,306.4,17.6,612.8,0
398,SH000198,09.12.2019,06:30:00,310.4,18.4,622.4,0
399,SH000198,09.12.2019,07:00:00,313.6,19.2,628.8,0
400,SH000198,09.12.2019,07:30:00,317.6,19.2,638.4,0
401,SH000198,09.12.2019,08:00:00,324.8,20.8,649.6,0
402,SH000198,09.12.2019,08:30:00,326.4,20.8,652.8,0
403,SH000198,09.12.2019,09:00:00,329.6,20.8,662.4,0
404,SH000198,09.12.2019,09:30:00,331.2,21.6,664,0
405,SH000198,09.12.2019,10:00:00,331.2,21.6,664,0
406,SH000198,09.12.2019,10:30:00,328,21.6,656,0
407,SH000198,09.12.2019,11:00:00,328.8,21.6,659.2,0
408,SH000198,09.12.2019,11:30:00,335.2,22.4,672,0
409,SH000198,09.12.2019,12:00:00,334.4,22.4,670.4,0
410,SH000198,09.12.2019,12:30:00,336,23.2,673.6,0
411,SH000198,09.12.2019,13:00:00,333.6,22.4,668.8,0
412,SH000198,09.12.2019,13:30:00,335.2,22.4,672,0
413,SH000198,09.12.2019,14:00:00,336,23.2,673.6,0
414,SH000198,09.12.2019,14:30:00,338.4,24,678.4,0
415,SH000198,09.12.2019,15:00:00,340.8,24,684.8,0
416,SH000198,09.12.2019,15:30:00,341.6,24.8,683.2,0
417,SH000198,09.12.2019,16:00:00,340.8,24,684.8,0
418,SH000198,09.12.2019,16:30:00,340,24,681.6,0
419,SH000198,09.12.2019,17:00:00,336.8,23.2,676.8,0
420,SH000198,09.12.2019,17:30:00,336,23.2,673.6,0
421,SH000198,09.12.2019,18:00:00,335.2,22.4,673.6,0
